VendorID,pickup_datetime,dropoff_datetime,request_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,driver_email,driver_phone_number,driver_fullname,driver_credit_card,passenger_email,passenger_phone_number,passenger_credit_card,passenger_address,passenger_Job,passenger_age,passenger_sex,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_AQI,dropoff_AQI,temperature,humidity,pickup_precipitation_chance,uv_index,feels_like,weather_description,wind_speed_km,first_name,last_name
1,2020-06-26 07:21:52.977224,2020-06-26 07:34:52.977224,2020-06-26 05:36:52.977224,2,0.71,1,N,236,236,1,4.5,0.0,0.5,15.61,0.0,0.3,24.21,2.75,96.34,donnastephens@example.net,(77***431,Debbie Baker Garrett,*****,wanderson@example.net,001***517,*****,437 Carter Overpass West Sydney -  IL 54707,Exhibition designer,28,M,40.85516,-74.410672,40.809537,-73.935901,32.0,75.0,18.0,81.0,86,49.0,77.0,Cloudy,34.0,Debbie,Cross
1,2020-08-09 03:15:28.495814,2020-08-09 03:19:28.495814,2020-08-09 02:35:28.495814,3,0.71,1,N,236,236,1,4.5,0.0,0.5,16.34,0.0,0.3,62.86,2.75,68.38,angelicawood@example.net,370***189,John James Sanchez,*****,april55@example.net,001***345,*****,0235 Morgan Common East Michaelview -  SC 40760,Artist,44,F,40.602029,-73.72293,40.526488,-74.34208,49.0,63.0,2.0,100.0,53,41.0,51.0,Fog,10.0,Joseph,Wright
1,2020-10-27 16:26:50.394095,2020-10-27 16:44:50.394095,2020-10-27 14:30:50.394095,1,0.71,1,N,236,236,1,4.5,0.0,0.5,19.25,0.0,0.3,77.95,2.75,31.08,clarkheather@example.org,+1-***573,Ann Duran Yang,*****,lindsayrodriguez@example.org,945***726,*****,41281 Lopez Orchard Suite 656 Davidport -  WA 01765,Prison officer,32,M,40.594975,-73.507478,40.846903,-73.745308,70.0,63.0,6.0,52.0,15,88.0,98.0,Snow,5.0,Jessica,Baker
1,2024-05-13 23:14:41.256762,2024-05-13 23:41:41.256762,2024-05-13 22:46:41.256762,4,0.71,1,N,236,236,1,4.5,0.0,0.5,15.12,0.0,0.3,47.72,2.75,62.55,petersengeorge@example.net,001***798,Aimee Martinez Colon,*****,gchung@example.org,001***949,*****,9259 Figueroa Pines Apt. 111 Robertborough -  MD 42493,Medical sales representative,39,M,40.632761,-73.878603,40.624561,-73.947881,44.0,73.0,-7.0,32.0,63,30.0,58.0,Rain,22.0,Jason,Woods
1,2022-04-08 08:28:04.603255,2022-04-08 08:34:04.603255,2022-04-08 07:14:04.603255,1,0.71,1,N,236,236,1,4.5,0.0,0.5,14.9,0.0,0.3,6.98,2.75,90.37,thompsonvictoria@example.com,361***599,Carrie Orozco Bryant,*****,eric48@example.com,(82***164,*****,9204 Ryan Neck Suite 824 South Stacey -  MS 11515,"Surveyor, minerals",25,M,40.693805,-74.23093,40.850827,-73.604441,79.0,65.0,9.0,67.0,16,28.0,21.0,Cloudy,22.0,Rhonda,Brown
1,2020-05-22 21:49:01.379814,2020-05-22 22:13:01.379814,2020-05-22 20:26:01.379814,3,0.71,1,N,236,236,1,4.5,0.0,0.5,13.04,0.0,0.3,83.67,2.75,28.21,wolfeernest@example.org,879***642,Brian Gilbert Chandler,*****,angela91@example.net,840***610,*****,604 Copeland Glen Apt. 614 Jenniferborough -  IL 84102,Chartered loss adjuster,60,M,40.729365,-73.715759,40.505635,-73.963092,23.0,26.0,25.0,31.0,6,56.0,68.0,Cloudy,24.0,Stacey,Mcdaniel
2,2022-03-24 17:09:04.650908,2022-03-24 17:17:04.650908,2022-03-24 16:07:04.650908,4,0.71,1,N,236,236,1,4.5,0.0,0.5,13.96,0.0,0.3,19.64,2.75,34.8,jack24@example.com,+1-***733,Michael Molina Pearson,*****,manuellevine@example.net,336***470,*****,70958 Diana Trace Waltonton -  FL 32608,English as a foreign language teacher,58,M,40.668931,-73.823442,40.778058,-73.7022,45.0,29.0,-4.0,38.0,54,86.0,61.0,Clear,34.0,Grace,Kelly
2,2023-02-20 15:53:09.461829,2023-02-20 16:52:09.461829,2023-02-20 15:23:09.461829,2,0.71,1,N,236,236,1,4.5,0.0,0.5,7.11,0.0,0.3,59.48,2.75,76.43,andrew94@example.org,894***209,Dr. Priscilla Miller Castillo,*****,robertwilcox@example.net,927***851,*****,3724 Wyatt Falls Suite 192 Lake Steven -  WI 64249,"Conservator, museum/gallery",31,F,40.875716,-73.700129,40.759992,-74.499873,27.0,72.0,32.0,23.0,16,91.0,97.0,Snow,2.0,Megan,Mcpherson
1,2020-08-22 06:17:58.938492,2020-08-22 07:05:58.938492,2020-08-22 05:43:58.938492,3,0.71,1,N,236,236,1,4.5,0.0,0.5,4.89,0.0,0.3,24.67,2.75,18.06,warrenralph@example.org,737***228,Michael Stokes Gill,*****,caitlin81@example.net,683***656,*****,0633 Andrew Forest Apt. 653 East Davidchester -  FM 70474,Surgeon,21,M,40.608177,-74.053635,40.844706,-73.597341,79.0,59.0,17.0,32.0,3,87.0,96.0,Snow,29.0,Benjamin,Mueller
1,2021-01-29 08:36:36.967628,2021-01-29 09:18:36.967628,2021-01-29 07:50:36.967628,3,0.71,1,N,236,236,1,4.5,0.0,0.5,10.91,0.0,0.3,78.29,2.75,76.47,justinlopez@example.com,398***229,Joe Kelly Foster,*****,ureynolds@example.com,366***738,*****,367 Hernandez Land East Jenniferchester -  WA 65254,Advertising art director,25,F,40.612585,-73.586953,40.790824,-73.753534,73.0,43.0,21.0,2.0,45,92.0,94.0,Snow,4.0,Patricia,Gonzalez
