VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,request_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,driver_email,driver_phone_number,driver_fullname,driver_credit_card,passenger_email,passenger_phone_number,passenger_fullname,passenger_credit_card,passenger_address,passenger_Job,passenger_age,passenger_sex,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_AQI,dropoff_AQI,temperature,humidity,pickup_precipitation_chance,uv_index,feels_like,weather_description,wind_speed_km
1.0,2020-06-26T07:21:52.977224,2020-06-26T07:34:52.977224,2020-06-26T05:36:52.977224,2.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,15.61,0.0,0.3,24.21,2.75,96.34,donnastephens@example.net,(777)493-9431,Debbie Baker Garrett,6546757083615792,wanderson@example.net,001-349-426-8055x0517,Debbie Cross Soto,4907967262725318207,437 Carter Overpass West Sydney -  IL 54707,Exhibition designer,28.0,M,40.85516,-74.410672,40.809537,-73.935901,32.0,75.0,18.0,81.0,86.0,49.0,77.0,Cloudy,34.0
1.0,2020-08-09T03:15:28.495814,2020-08-09T03:19:28.495814,2020-08-09T02:35:28.495814,3.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,16.34,0.0,0.3,62.86,2.75,68.38,angelicawood@example.net,370.482.3189,John James Sanchez,30395499896288,april55@example.net,001-202-907-2345,Joseph Wright Baker,4836487414212972341,0235 Morgan Common East Michaelview -  SC 40760,Artist,44.0,F,40.602029,-73.72293,40.526488,-74.34208,49.0,63.0,2.0,100.0,53.0,41.0,51.0,Fog,10.0
1.0,2020-10-27T16:26:50.394095,2020-10-27T16:44:50.394095,2020-10-27T14:30:50.394095,1.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,19.25,0.0,0.3,77.95,2.75,31.08,clarkheather@example.org,+1-929-881-5137x573,Ann Duran Yang,4137488060526668398,lindsayrodriguez@example.org,945.441.9726,Jessica Baker Ramirez,2222146163078784,41281 Lopez Orchard Suite 656 Davidport -  WA 01765,Prison officer,32.0,M,40.594975,-73.507478,40.846903,-73.745308,70.0,63.0,6.0,52.0,15.0,88.0,98.0,Snow,5.0
1.0,2024-05-13T23:14:41.256762,2024-05-13T23:41:41.256762,2024-05-13T22:46:41.256762,4.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,15.12,0.0,0.3,47.72,2.75,62.55,petersengeorge@example.net,001-398-324-3272x06798,Aimee Martinez Colon,3539402125311375,gchung@example.org,001-352-932-4119x93949,Jason Woods Wells,676189390732,9259 Figueroa Pines Apt. 111 Robertborough -  MD 42493,Medical sales representative,39.0,M,40.632761,-73.878603,40.624561,-73.947881,44.0,73.0,-7.0,32.0,63.0,30.0,58.0,Rain,22.0
1.0,2022-04-08T08:28:04.603255,2022-04-08T08:34:04.603255,2022-04-08T07:14:04.603255,1.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,14.9,0.0,0.3,6.98,2.75,90.37,thompsonvictoria@example.com,361-665-9781x599,Carrie Orozco Bryant,4899668377345201996,eric48@example.com,(820)301-1164,Rhonda Brown Smith,3547332586597628,9204 Ryan Neck Suite 824 South Stacey -  MS 11515,"Surveyor, minerals",25.0,M,40.693805,-74.23093,40.850827,-73.604441,79.0,65.0,9.0,67.0,16.0,28.0,21.0,Cloudy,22.0
1.0,2020-05-22T21:49:01.379814,2020-05-22T22:13:01.379814,2020-05-22T20:26:01.379814,3.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,13.04,0.0,0.3,83.67,2.75,28.21,wolfeernest@example.org,879-644-2642,Brian Gilbert Chandler,2286978161923485,angela91@example.net,8402338610,Stacey Mcdaniel Mason,5576713354748809,604 Copeland Glen Apt. 614 Jenniferborough -  IL 84102,Chartered loss adjuster,60.0,M,40.729365,-73.715759,40.505635,-73.963092,23.0,26.0,25.0,31.0,6.0,56.0,68.0,Cloudy,24.0
2.0,2022-03-24T17:09:04.650908,2022-03-24T17:17:04.650908,2022-03-24T16:07:04.650908,4.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,13.96,0.0,0.3,19.64,2.75,34.8,jack24@example.com,+1-798-843-2657x733,Michael Molina Pearson,676343079395,manuellevine@example.net,336.987.8091x04470,Grace Kelly Anderson,4893282947756249,70958 Diana Trace Waltonton -  FL 32608,English as a foreign language teacher,58.0,M,40.668931,-73.823442,40.778058,-73.7022,45.0,29.0,-4.0,38.0,54.0,86.0,61.0,Clear,34.0
2.0,2023-02-20T15:53:09.461829,2023-02-20T16:52:09.461829,2023-02-20T15:23:09.461829,2.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,7.11,0.0,0.3,59.48,2.75,76.43,andrew94@example.org,894-317-6209,Dr. Priscilla Miller Castillo,4986780290403945,robertwilcox@example.net,927.914.1205x8851,Megan Mcpherson Ruiz,3543649687475709,3724 Wyatt Falls Suite 192 Lake Steven -  WI 64249,"Conservator, museum/gallery",31.0,F,40.875716,-73.700129,40.759992,-74.499873,27.0,72.0,32.0,23.0,16.0,91.0,97.0,Snow,2.0
1.0,2020-08-22T06:17:58.938492,2020-08-22T07:05:58.938492,2020-08-22T05:43:58.938492,3.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,4.89,0.0,0.3,24.67,2.75,18.06,warrenralph@example.org,7374245228,Michael Stokes Gill,3547920562334923,caitlin81@example.net,6839866656,Benjamin Mueller Williams,4821270782756090,0633 Andrew Forest Apt. 653 East Davidchester -  FM 70474,Surgeon,21.0,M,40.608177,-74.053635,40.844706,-73.597341,79.0,59.0,17.0,32.0,3.0,87.0,96.0,Snow,29.0
1.0,2021-01-29T08:36:36.967628,2021-01-29T09:18:36.967628,2021-01-29T07:50:36.967628,3.0,0.71,1.0,N,236.0,236.0,1.0,4.5,0.0,0.5,10.91,0.0,0.3,78.29,2.75,76.47,justinlopez@example.com,398-833-7164x88229,Joe Kelly Foster,503847314054,ureynolds@example.com,366-465-1182x738,Patricia Gonzalez Herrera,4286078988558,367 Hernandez Land East Jenniferchester -  WA 65254,Advertising art director,25.0,F,40.612585,-73.586953,40.790824,-73.753534,73.0,43.0,21.0,2.0,45.0,92.0,94.0,Snow,4.0
